agent_id,win,n,distinct_nf,distinct_ep,err_rate,get_frac,write_frac,mean_resp,max_resp,n_orphan,hour,label,attack_type,tgt_set,distinct_ep_roll,distinct_nf_roll,distinct_target_roll,err_count_roll,n_roll,resp_roll_max,rule,rule_reason,ml,risk,decision,nfs_touched
orch-session-mgr,2026-08-06 23:08:00,8,3,5,0.0,0.125,0.875,742.875,1191,0,23,legit,none,{'SUPI-0249'},6,3,10,1.0,42,1191,0.0,none,0.0,0.0,PASS,"AMF,PCF,SMF"
provisioning-agent,2026-08-04 09:00:00,2,2,2,0.0,0.0,1.0,898.5,1165,0,9,legit,none,"{'SUPI-0047', 'SUPI-0027'}",3,2,15,0.0,21,1396,0.0,none,0.0,0.0,PASS,"NEF,UDM"
oss-orchestration-hub,2026-08-07 00:52:00,15,5,5,0.0,0.5333333333333333,0.4666666666666667,616.3333333333334,907,0,0,legit,none,"{'SUPI-0181', 'SUPI-0247', 'SUPI-0286', 'SUPI-0201', 'SUPI-0049', 'SUPI-0138', 'SUPI-0330', 'SUPI-0374'}",10,6,21,1.0,78,985,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,UDM"
nrf-heartbeat-svc,2026-08-04 19:19:00,3,1,2,0.0,0.0,1.0,128.0,152,0,19,legit,none,set(),2,1,0,0.0,13,286,0.0,none,0.0,0.0,PASS,NRF
oss-orchestration-hub,2026-08-04 23:17:00,17,6,6,0.0,0.4117647058823529,0.5882352941176471,610.7647058823529,984,0,23,legit,none,"{'SUPI-0040', 'SUPI-0234', 'SUPI-0332', 'SUPI-0202', 'SUPI-0323', 'SUPI-0173', 'SUPI-0337', 'SUPI-0388'}",11,6,22,0.0,83,990,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
provisioning-agent,2026-08-07 20:09:00,4,2,2,0.0,0.0,1.0,447.5,844,0,20,legit,none,"{'SUPI-0386', 'SUPI-0387', 'SUPI-0230'}",5,2,14,1.0,23,1477,0.0,none,0.0,0.0,PASS,"NEF,UDM"
policy-audit-svc,2026-08-04 14:50:00,3,1,2,0.0,0.0,1.0,153.0,194,0,14,legit,none,"{'SUPI-0242', 'SUPI-0305', 'SUPI-0362'}",2,1,13,0.0,15,371,0.0,none,0.0,0.0,PASS,PCF
closed-loop-assurance,2026-08-03 22:48:00,20,3,4,0.0,0.0,1.0,521.35,827,0,22,legit,none,"{'SUPI-0244', 'SUPI-0097', 'SUPI-0183', 'SUPI-0114', 'SUPI-0096', 'SUPI-0098', 'SUPI-0133', 'SUPI-0011', 'SUPI-0344', 'SUPI-0379', 'SUPI-0193', 'SUPI-0374'}",7,3,24,0.0,96,899,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
nrf-heartbeat-svc,2026-08-03 08:00:00,4,1,2,0.25,0.5,0.5,134.25,198,0,8,legit,none,set(),3,1,0,1.0,15,290,0.0,none,0.8411731133899132,0.8411731133899132,STEP-UP,NRF
closed-loop-assurance,2026-08-05 22:04:00,14,3,4,0.0,0.0,1.0,526.7857142857143,854,0,22,legit,none,"{'SUPI-0043', 'SUPI-0356', 'SUPI-0209', 'SUPI-0197', 'SUPI-0196', 'SUPI-0017', 'SUPI-0091', 'SUPI-0260', 'SUPI-0328'}",4,3,25,1.0,64,872,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
nrf-heartbeat-svc,2026-08-06 13:53:00,6,1,2,0.0,0.0,1.0,207.16666666666666,296,0,13,legit,none,set(),3,1,0,0.0,25,296,0.0,none,0.0,0.0,PASS,NRF
closed-loop-assurance,2026-08-04 01:47:00,12,3,4,0.08333333333333333,0.0,1.0,572.6666666666666,820,0,1,legit,none,"{'SUPI-0384', 'SUPI-0399', 'SUPI-0277', 'SUPI-0286', 'SUPI-0382', 'SUPI-0352', 'SUPI-0397', 'SUPI-0113'}",4,3,23,2.0,64,861,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
oss-inventory-job,2026-08-03 11:49:00,7,2,2,0.0,1.0,0.0,312.7142857142857,486,0,11,legit,none,"{'SUPI-0081', 'SUPI-0256', 'SUPI-0271'}",3,2,11,0.0,31,565,0.0,none,0.49597731833496134,0.49597731833496134,PASS,"NRF,UDM"
policy-audit-svc,2026-08-03 11:16:00,1,1,1,0.0,0.0,1.0,262.0,262,0,11,legit,none,{'SUPI-0397'},2,1,6,0.0,7,378,0.0,none,0.0,0.0,PASS,PCF
orch-session-mgr,2026-08-04 05:35:00,7,2,5,0.0,0.0,1.0,588.8571428571429,1096,0,5,legit,none,"{'SUPI-0228', 'SUPI-0056'}",7,3,6,0.0,35,1195,0.0,none,0.0,0.0,PASS,"PCF,SMF"
nrf-heartbeat-svc,2026-08-05 12:02:00,6,1,2,0.0,0.0,1.0,194.33333333333334,283,0,12,legit,none,set(),3,1,0,0.0,29,294,0.0,none,0.0,0.0,PASS,NRF
closed-loop-assurance,2026-08-07 23:16:00,12,3,3,0.0,0.0,1.0,546.9166666666666,862,0,23,legit,none,"{'SUPI-0293', 'SUPI-0124', 'SUPI-0331', 'SUPI-0369', 'SUPI-0210', 'SUPI-0219', 'SUPI-0256'}",4,3,27,0.0,66,896,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
oss-orchestration-hub,2026-08-07 01:37:00,17,6,7,0.0,0.29411764705882354,0.7058823529411765,621.0588235294117,956,0,1,legit,none,"{'SUPI-0150', 'SUPI-0139', 'SUPI-0081', 'SUPI-0169', 'SUPI-0218', 'SUPI-0248', 'SUPI-0335', 'SUPI-0250'}",11,6,21,0.0,82,986,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
orch-session-mgr,2026-08-05 20:29:00,10,2,4,0.0,0.0,1.0,764.0,1175,0,20,legit,none,"{'SUPI-0071', 'SUPI-0330'}",4,2,10,1.0,51,1198,0.0,none,0.0,0.0,PASS,"PCF,SMF"
oss-orchestration-hub,2026-08-05 06:48:00,21,6,8,0.0,0.3333333333333333,0.6666666666666666,674.8571428571429,990,0,6,legit,none,"{'SUPI-0080', 'SUPI-0322', 'SUPI-0296', 'SUPI-0325', 'SUPI-0100', 'SUPI-0345', 'SUPI-0033'}",13,6,20,1.0,102,990,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
nrf-heartbeat-svc,2026-08-03 06:09:00,5,1,2,0.0,0.0,1.0,247.8,290,0,6,legit,none,set(),3,1,0,0.0,22,299,0.0,none,0.0,0.0,PASS,NRF
nrf-heartbeat-svc,2026-08-03 23:55:00,6,1,3,0.0,0.16666666666666666,0.8333333333333334,212.33333333333334,275,0,23,legit,none,set(),3,1,0,0.0,25,297,0.0,none,0.0,0.0,PASS,NRF
oss-orchestration-hub,2026-08-05 05:49:00,12,6,6,0.0,0.3333333333333333,0.6666666666666666,670.3333333333334,850,0,5,legit,none,"{'SUPI-0170', 'SUPI-0231', 'SUPI-0312', 'SUPI-0303', 'SUPI-0385'}",8,6,17,0.0,61,953,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
provisioning-agent,2026-08-04 07:05:00,5,2,3,0.0,0.2,0.8,939.6,1438,0,7,legit,none,"{'SUPI-0100', 'SUPI-0055', 'SUPI-0314', 'SUPI-0236'}",3,2,20,3.0,27,1499,0.0,none,0.0,0.0,PASS,"NEF,UDM"
nrf-heartbeat-svc,2026-08-04 12:04:00,5,1,2,0.0,0.0,1.0,188.8,251,0,12,legit,none,set(),2,1,0,0.0,27,290,0.0,none,0.0,0.0,PASS,NRF
nrf-heartbeat-svc,2026-08-04 14:55:00,3,1,2,0.0,0.0,1.0,177.0,236,0,14,legit,none,set(),3,1,0,0.0,16,297,0.0,none,0.0,0.0,PASS,NRF
closed-loop-assurance,2026-08-04 08:15:00,14,3,3,0.0,0.0,1.0,518.7142857142857,839,0,8,legit,none,"{'SUPI-0116', 'SUPI-0292', 'SUPI-0114', 'SUPI-0134', 'SUPI-0182', 'SUPI-0332', 'SUPI-0323', 'SUPI-0007', 'SUPI-0076'}",7,3,26,0.0,68,873,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
orch-session-mgr,2026-08-04 06:44:00,9,3,5,0.0,0.0,1.0,855.7777777777778,1150,0,6,legit,none,"{'SUPI-0138', 'SUPI-0367', 'SUPI-0241'}",6,3,11,1.0,47,1190,0.0,none,0.0,0.0,PASS,"AMF,PCF,SMF"
closed-loop-assurance,2026-08-06 09:39:00,13,3,3,0.0,0.0,1.0,488.3076923076923,819,0,9,legit,none,"{'SUPI-0343', 'SUPI-0096', 'SUPI-0314', 'SUPI-0275', 'SUPI-0395', 'SUPI-0391', 'SUPI-0029', 'SUPI-0197'}",6,3,22,0.0,64,880,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
nrf-heartbeat-svc,2026-08-05 11:12:00,6,1,3,0.0,0.16666666666666666,0.8333333333333334,186.5,246,0,11,legit,none,set(),3,1,0,1.0,25,294,0.0,none,0.0,0.0,PASS,NRF
orch-session-mgr,2026-08-07 07:35:00,7,2,4,0.0,0.0,1.0,679.5714285714286,1104,0,7,legit,none,"{'SUPI-0062', 'SUPI-0345'}",4,2,7,1.0,34,1161,0.0,none,0.0,0.0,PASS,"PCF,SMF"
closed-loop-assurance,2026-08-05 09:27:00,18,3,6,0.0,0.0,1.0,493.1111111111111,813,0,9,legit,none,"{'SUPI-0356', 'SUPI-0184', 'SUPI-0183', 'SUPI-0305', 'SUPI-0181', 'SUPI-0263', 'SUPI-0386', 'SUPI-0195', 'SUPI-0309', 'SUPI-0192', 'SUPI-0200'}",6,3,30,2.0,96,896,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
oss-orchestration-hub,2026-08-07 11:39:00,17,6,7,0.0,0.29411764705882354,0.7058823529411765,556.5882352941177,992,0,11,legit,none,"{'SUPI-0307', 'SUPI-0198', 'SUPI-0321', 'SUPI-0023', 'SUPI-0168', 'SUPI-0303'}",14,6,19,0.0,89,998,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
closed-loop-assurance,2026-08-03 19:45:00,8,3,3,0.0,0.0,1.0,541.875,865,0,19,legit,none,"{'SUPI-0392', 'SUPI-0079', 'SUPI-0112', 'SUPI-0185'}",6,3,19,0.0,45,890,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
orch-session-mgr,2026-08-06 15:25:00,13,2,4,0.0,0.0,1.0,680.0,1080,0,15,legit,none,"{'SUPI-0245', 'SUPI-0010', 'SUPI-0089'}",5,2,12,0.0,66,1184,0.0,none,0.0,0.0,PASS,"PCF,SMF"
nrf-heartbeat-svc,2026-08-07 19:39:00,5,1,2,0.0,0.0,1.0,186.6,283,0,19,legit,none,set(),2,1,0,0.0,24,283,0.0,none,0.0,0.0,PASS,NRF
provisioning-agent,2026-08-03 08:00:00,4,2,2,0.0,0.0,1.0,900.0,1361,0,8,legit,none,"{'SUPI-0392', 'SUPI-0341', 'SUPI-0233', 'SUPI-0061'}",4,2,12,0.0,17,1431,0.0,none,0.0,0.0,PASS,"NEF,UDM"
nrf-heartbeat-svc,2026-08-04 23:25:00,5,1,2,0.0,0.0,1.0,136.8,195,0,23,legit,none,set(),3,1,0,1.0,30,296,0.0,none,0.0,0.0,PASS,NRF
orch-session-mgr,2026-08-03 19:46:00,14,2,4,0.0,0.0,1.0,739.5,1196,0,19,legit,none,"{'SUPI-0104', 'SUPI-0077', 'SUPI-0329'}",5,3,12,0.0,69,1198,0.0,none,0.0,0.0,PASS,"PCF,SMF"
closed-loop-assurance,2026-08-06 04:35:00,12,3,5,0.08333333333333333,0.0,1.0,427.75,685,0,4,legit,none,"{'SUPI-0363', 'SUPI-0124', 'SUPI-0338', 'SUPI-0224', 'SUPI-0191', 'SUPI-0391', 'SUPI-0049', 'SUPI-0118', 'SUPI-0371'}",7,3,26,1.0,61,874,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
orch-session-mgr,2026-08-03 14:12:00,10,2,4,0.0,0.0,1.0,628.8,1179,0,14,legit,none,"{'SUPI-0395', 'SUPI-0015', 'SUPI-0197'}",7,3,13,0.0,54,1179,0.0,none,0.0,0.0,PASS,"PCF,SMF"
nrf-heartbeat-svc,2026-08-07 08:52:00,6,1,2,0.0,0.0,1.0,208.66666666666666,285,0,8,legit,none,set(),2,1,0,0.0,24,294,0.0,none,0.0,0.0,PASS,NRF
nrf-heartbeat-svc,2026-08-06 11:47:00,5,1,2,0.0,0.0,1.0,220.2,289,0,11,legit,none,set(),3,1,0,0.0,28,298,0.0,none,0.0,0.0,PASS,NRF
nrf-heartbeat-svc,2026-08-07 11:36:00,5,1,2,0.0,0.0,1.0,163.2,198,0,11,legit,none,set(),2,1,0,0.0,22,262,0.0,none,0.0,0.0,PASS,NRF
oss-orchestration-hub,2026-08-04 08:21:00,14,6,6,0.0,0.2857142857142857,0.7142857142857143,578.8571428571429,879,0,8,legit,none,"{'SUPI-0086', 'SUPI-0183', 'SUPI-0010', 'SUPI-0359', 'SUPI-0045', 'SUPI-0392'}",10,6,23,0.0,71,980,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
orch-session-mgr,2026-08-06 14:42:00,6,2,4,0.0,0.0,1.0,832.3333333333334,1158,0,14,legit,none,"{'SUPI-0387', 'SUPI-0363', 'SUPI-0010'}",6,3,7,1.0,28,1162,0.0,none,0.0,0.0,PASS,"PCF,SMF"
oss-orchestration-hub,2026-08-07 15:51:00,23,6,8,0.0,0.30434782608695654,0.6956521739130435,584.7391304347826,998,0,15,legit,none,"{'SUPI-0230', 'SUPI-0361', 'SUPI-0149', 'SUPI-0153', 'SUPI-0081', 'SUPI-0004', 'SUPI-0328', 'SUPI-0329', 'SUPI-0109'}",11,6,24,1.0,114,998,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
nrf-heartbeat-svc,2026-08-06 13:37:00,5,1,2,0.0,0.0,1.0,180.8,259,0,13,legit,none,set(),3,1,0,0.0,23,291,0.0,none,0.0,0.0,PASS,NRF
closed-loop-assurance,2026-08-06 13:42:00,12,3,6,0.0,0.0,1.0,515.75,821,0,13,legit,none,"{'SUPI-0002', 'SUPI-0108', 'SUPI-0400', 'SUPI-0075', 'SUPI-0301', 'SUPI-0054', 'SUPI-0350'}",7,3,22,2.0,59,863,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
orch-session-mgr,2026-08-03 21:37:00,13,2,4,0.0,0.0,1.0,757.1538461538462,1159,0,21,legit,none,"{'SUPI-0057', 'SUPI-0094', 'SUPI-0180'}",7,3,17,1.0,63,1161,0.0,none,0.0,0.0,PASS,"PCF,SMF"
policy-audit-svc,2026-08-07 19:11:00,2,1,2,0.0,0.0,1.0,147.0,183,0,19,legit,none,"{'SUPI-0358', 'SUPI-0279'}",2,1,8,0.0,9,377,0.0,none,0.0,0.0,PASS,PCF
oss-inventory-job,2026-08-03 01:17:00,4,2,4,0.0,0.75,0.25,338.0,400,0,1,legit,none,"{'SUPI-0324', 'SUPI-0307'}",4,2,7,0.0,20,559,0.0,none,0.7169026271701294,0.7169026271701294,STEP-UP,"NRF,UDM"
nrf-heartbeat-svc,2026-08-07 08:50:00,5,1,2,0.0,0.0,1.0,171.0,209,0,8,legit,none,set(),2,1,0,0.0,24,276,0.0,none,0.0,0.0,PASS,NRF
closed-loop-assurance,2026-08-05 15:31:00,11,3,5,0.0,0.0,1.0,556.3636363636364,865,0,15,legit,none,"{'SUPI-0002', 'SUPI-0392', 'SUPI-0049', 'SUPI-0117', 'SUPI-0232'}",7,3,19,0.0,54,899,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
nrf-heartbeat-svc,2026-08-07 05:06:00,4,1,2,0.0,0.0,1.0,171.5,232,0,5,legit,none,set(),2,1,0,0.0,20,286,0.0,none,0.0,0.0,PASS,NRF
closed-loop-assurance,2026-08-04 14:11:00,8,3,4,0.0,0.125,0.875,384.875,899,0,14,legit,none,"{'SUPI-0313', 'SUPI-0099', 'SUPI-0088', 'SUPI-0138', 'SUPI-0073'}",5,3,16,0.0,41,899,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
provisioning-agent,2026-08-03 16:45:00,3,2,2,0.0,0.0,1.0,770.6666666666666,1369,0,16,legit,none,"{'SUPI-0227', 'SUPI-0146', 'SUPI-0250'}",3,2,11,0.0,15,1480,0.0,none,0.0,0.0,PASS,"NEF,UDM"
oss-orchestration-hub,2026-08-06 21:19:00,15,6,7,0.0,0.3333333333333333,0.6666666666666666,656.1333333333333,907,0,21,legit,none,"{'SUPI-0244', 'SUPI-0091', 'SUPI-0041', 'SUPI-0240', 'SUPI-0319'}",14,6,20,0.0,77,999,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
closed-loop-assurance,2026-08-05 12:03:00,14,3,4,0.0,0.0,1.0,518.2857142857143,865,0,12,legit,none,"{'SUPI-0086', 'SUPI-0150', 'SUPI-0304', 'SUPI-0058', 'SUPI-0083', 'SUPI-0284', 'SUPI-0301', 'SUPI-0085', 'SUPI-0287', 'SUPI-0318'}",6,3,26,1.0,67,869,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
nrf-heartbeat-svc,2026-08-07 07:49:00,4,1,2,0.25,0.0,1.0,195.25,283,0,7,legit,none,set(),3,1,0,1.0,23,292,0.0,none,0.0,0.0,PASS,NRF
